SSN,PID,CC,Site,ICRAFPID,Lon,Lat,Depth,pH,Hp,EC,C,N,P,K,S,Ca,Mg,Al,B,Cu,Fe,Mn,Zn,Na
icr023633,MZ-dZY5c8,MZ,Chica_b,Chica_b-11-1,39.883627,-14.701545,10,6.78,0.1,0.037,7449,465,6,107,7,1177,159,523,0.38,1.49,70,132,1.73,20
icr023634,MZ-dZY5c8,MZ,Chica_b,Chica_b-11-1,39.883627,-14.701545,35,6.9,0.1,0.039,5432,354,4.8,141,8,1730,228,717,0.45,2.37,75,166,1.96,20
icr023652,MZ-lhMgN1,MZ,Chica_b,Chica_b-12-2,39.886058,-14.681088,10,6.25,0.1,0.066,15455,1133,24.7,85,8,1453,276,729,0.45,0.73,166,58,3.06,27
icr023653,MZ-lhMgN1,MZ,Chica_b,Chica_b-12-2,39.886058,-14.681088,35,5.73,0.25,0.042,8540,647,9.5,44,7,828,240,685,0.31,0.62,174,27,1.22,32
icr023672,MZ-Z7PcE7,MZ,Chica_b,Chica_b-13-1,39.909052,-14.749168,10,7.44,0.15,0.126,5340,396,38.5,186,6,918,139,558,0.5,0.98,65,162,2.58,17
icr023673,MZ-Z7PcE7,MZ,Chica_b,Chica_b-13-1,39.909052,-14.749168,35,7.22,0.1,0.064,3488,301,7.4,187,6,635,98,676,0.44,0.9,70,159,0.82,13
icr023692,MZ-9oVcd3,MZ,Chica_b,Chica_b-14-1,39.907882,-14.725693,10,6.53,0.1,0.058,8017,573,8.7,136,8,750,121,642,0.45,0.8,57,178,1.19,13
icr023693,MZ-9oVcd3,MZ,Chica_b,Chica_b-14-1,39.907882,-14.725693,35,6.41,0.1,0.045,3355,252,6.2,140,8,482,96,770,0.48,0.75,61,161,0.9,19
icr023712,MZ-yTlsVf,MZ,Chica_b,Chica_b-15-1,39.913418,-14.704728,10,5.08,1.2,0.075,65783,4554,35.8,100,20,574,84,1719,0.36,0.49,129,7,3.75,27
icr023713,MZ-yTlsVf,MZ,Chica_b,Chica_b-15-1,39.913418,-14.704728,35,5.21,0.9,0.063,45958,2837,28.4,93,20,364,62,1753,0.23,0.27,109,4,0.98,17
icr023731,MZ-Hjc4f1,MZ,Chica_b,Chica_b-16-1,39.90612,-14.68274,10,6.88,0.2,0.089,6354,466,7.7,65,5,453,79,388,0.19,0.52,119,17,0.82,23
icr023732,MZ-Hjc4f1,MZ,Chica_b,Chica_b-16-1,39.90612,-14.68274,35,5.96,0.2,0.033,3325,306,3.9,53,4,302,64,381,0.17,0.42,128,9,0.73,16
icr024868,TZ-ZTmRit,TZ,Itende,Itende-1-3,34.172421,-6.928433,10,6.24,0.1,0.059,7450,356,9.4,121,6,369,110,596,0.16,0.59,67,63,2.59,13
icr024869,TZ-ZTmRit,TZ,Itende,Itende-1-3,34.172421,-6.928433,35,6.24,0.1,0.018,3792,128,4.6,107,4,214,113,693,0.09,0.48,62,53,1.82,15
icr024879,TZ-n1fX2Z,TZ,Itende,Itende-2-1,34.17971,-6.897945,10,6.42,0.05,0.04,5992,365,3.9,130,5,513,140,711,0.09,1.02,60,129,2.38,21
icr024880,TZ-n1fX2Z,TZ,Itende,Itende-2-1,34.17971,-6.897945,35,6.37,0.1,0.029,5562,224,2,137,4,525,197,971,0.1,1.3,62,111,1.64,23
icr024899,TZ-CWWx5P,TZ,Itende,Itende-3-1,34.177681,-6.881358,10,6.12,0.1,0.052,7343,523,8.2,116,5,546,118,554,0.13,0.41,54,83,1.75,38
icr024900,TZ-CWWx5P,TZ,Itende,Itende-3-1,34.177681,-6.881358,35,5.93,0.05,0.038,4130,209,6.3,92,4,343,91,644,0.07,0.36,49,66,1.77,20
icr024917,TZ-bAOWGA,TZ,Itende,Itende-4-1,34.181694,-6.86511,10,5.67,0.15,0.06,4372,233,4.9,75,3,259,102,352,0.05,0.42,113,18,2.56,41
icr024918,TZ-bAOWGA,TZ,Itende,Itende-4-1,34.181694,-6.86511,35,6.02,0.05,0.017,1241,78,2.4,43,2,140,85,339,0.01,0.34,97,11,2.94,30
icr024937,TZ-U2yzKk,TZ,Itende,Itende-5-1,34.194763,-6.929987,10,6.1,0.05,0.035,6528,315,7,72,4,414,132,396,0.07,0.47,75,49,2.42,28
icr024938,TZ-U2yzKk,TZ,Itende,Itende-5-1,34.194763,-6.929987,35,5.83,0.1,0.02,2867,93,4.6,48,3,214,97,375,0.02,0.33,68,24,2.08,25
icr024956,TZ-FzgVq0,TZ,Itende,Itende-6-1,34.192478,-6.910065,10,6.16,0.1,0.064,5401,254,6,130,6,474,123,675,0.14,0.91,56,148,2.23,40
icr024957,TZ-FzgVq0,TZ,Itende,Itende-6-1,34.192478,-6.910065,35,5.34,0.2,0.033,2591,98,3.2,109,7,179,143,989,0.08,0.63,66,100,2.79,33
icr024976,TZ-Q91fUZ,TZ,Itende,Itende-7-2,34.193073,-6.879183,10,6.21,0.05,0.056,6366,290,14.4,80,4,485,101,457,0.25,0.81,45,78,1.13,20
icr024977,TZ-Q91fUZ,TZ,Itende,Itende-7-2,34.193073,-6.879183,35,5.74,0.05,0.032,2402,127,8.2,57,4,206,75,471,0.04,0.62,43,39,1.13,38
icr024994,TZ-Y6182H,TZ,Itende,Itende-8-3,34.194527,-6.859828,10,6.16,0.1,0.033,6090,251,6.2,124,6,324,118,766,0.09,0.74,52,112,2.6,36
icr024995,TZ-Y6182H,TZ,Itende,Itende-8-3,34.194527,-6.859828,35,5.67,0.2,0.03,2490,117,2.4,130,4,126,132,774,0.06,0.5,43,57,2.04,29
icr025009,TZ-CHAEmL,TZ,Itende,Itende-9-5,34.223148,-6.927495,10,5.56,0.1,0.043,2570,97,6.8,56,4,233,89,458,0.01,0.44,127,53,1.88,16
icr025010,TZ-CHAEmL,TZ,Itende,Itende-9-5,34.223148,-6.927495,35,5.47,0.49,0.021,4490,169,3.7,51,4,131,91,537,0.01,0.41,131,55,2.15,18
icr025016,TZ-ByJPVZ,TZ,Itende,Itende-10-1,34.215706,-6.904168,10,5.33,0.2,0.042,5302,422,7,94,6,566,260,495,0.04,0.65,153,23,1.11,27
icr025017,TZ-ByJPVZ,TZ,Itende,Itende-10-1,34.215706,-6.904168,35,5.09,1.96,0.019,2934,251,2.7,31,4,277,166,613,0.01,0.67,164,6,0.49,34
icr025036,TZ-oXuFYK,TZ,Itende,Itende-11-1,34.223396,-6.878633,10,6.06,0.1,0.03,6167,400,8.6,72,4,559,98,407,0.06,0.67,61,132,2.95,26
icr025037,TZ-oXuFYK,TZ,Itende,Itende-11-1,34.223396,-6.878633,35,6.12,0.05,0.035,2871,219,4.6,48,3,312,65,408,0.03,0.7,50,96,0.87,17
icr025055,TZ-DzL0yF,TZ,Itende,Itende-12-1,34.212799,-6.853913,10,6.38,0.05,0.053,5513,398,7.8,68,3,451,92,383,0.08,0.32,54,113,1.05,12
icr025056,TZ-DzL0yF,TZ,Itende,Itende-12-1,34.212799,-6.853913,35,6.2,0.05,0.019,1934,173,3.4,55,3,165,71,416,0.01,0.22,44,70,1.91,14
icr025074,TZ-7pVvNQ,TZ,Itende,Itende-13-1,34.236652,-6.918945,10,6.56,0.1,0.05,7181,445,8.3,165,6,537,162,583,0.12,0.99,72,194,3.37,33
icr025075,TZ-7pVvNQ,TZ,Itende,Itende-13-1,34.236652,-6.918945,35,6.12,0.1,0.019,3540,212,3.9,153,5,160,159,763,0.1,0.81,62,130,0.75,19
icr025092,TZ-N7jHIL,TZ,Itende,Itende-14-1,34.240738,-6.89882,10,6.43,0.2,0.038,5738,322,7.7,99,4,362,109,400,0.06,0.38,58,67,2.25,13
icr025093,TZ-N7jHIL,TZ,Itende,Itende-14-1,34.240738,-6.89882,35,6.09,0.1,0.015,2926,127,3.4,82,4,220,90,455,0.11,0.2,62,46,0.94,33
icr025111,TZ-D2Wvoa,TZ,Itende,Itende-15-1,34.24556,-6.877308,10,6.82,0.1,0.024,5911,294,8.9,131,5,741,143,525,0.11,0.47,68,71,2.74,29
icr025112,TZ-D2Wvoa,TZ,Itende,Itende-15-1,34.24556,-6.877308,35,6.31,0.05,0.014,2891,94,3.5,71,3,408,173,620,0.03,0.37,62,51,2.33,14
icr025135,TZ-rEpT2q,TZ,Itende,Itende-16-7,34.243313,-6.85162,10,6.5,0.05,0.047,12472,524,10,96,5,866,111,461,0.09,0.43,55,127,1.03,10
icr025136,TZ-rEpT2q,TZ,Itende,Itende-16-7,34.243313,-6.85162,35,7.01,0.05,0.024,9476,318,7.1,74,7,1123,97,446,0.11,0.39,51,112,2.12,23
icr030024,ET-BM104o,ET,Dambidolo,Dambidolo-1-1,34.979774,8.576895,10,5.819,0.388,0.298,68865,4152,14.4,456.3,12.1,3819,821.2,1287,0.318,2.796,99.78,194,1.025,38.73
icr030025,ET-BM104o,ET,Dambidolo,Dambidolo-1-1,34.979774,8.576895,35,5.53,0.194,0.175,41665,2808,2,191.3,8.3,2276,522.8,1773,0.107,1.88,70.79,123.7,0.266,43.31
icr030043,ET-ud6xip,ET,Dambidolo,Dambidolo-2-1,34.985012,8.60079,10,6.5,0.097,0.218,69849,3603,68.4,785.8,14.2,5334,827.8,994.9,0.522,1.729,87.97,202,2.203,29.6
icr030044,ET-ud6xip,ET,Dambidolo,Dambidolo-2-1,34.985012,8.60079,35,5.441,0.194,0.083,47998,2677,8.2,259.1,13,2726,493,1705,0.192,2.041,67.64,105.9,0.636,42.16
icr030063,ET-Slm40c,ET,Dambidolo,Dambidolo-3-1,34.983757,8.629852,10,7.373,0.097,0.408,79436,4731,221.8,986.2,20.2,8756,1137,704.2,1.027,1.996,204.7,136.3,10.76,35.54
icr030064,ET-Slm40c,ET,Dambidolo,Dambidolo-3-1,34.983757,8.629852,35,6.69,0.097,0.179,53093,3190,110.1,477.1,20.3,6086,1009,865.8,0.673,2.873,243.9,134.4,5.927,50.91
icr030083,ET-hGM0RD,ET,Dambidolo,Dambidolo-4-1,34.98785,8.65488,10,6.432,0.146,0.256,72340,3888,12.5,428.1,15.5,5435,828.6,970.1,0.463,1.889,73.26,236.5,1.993,44.97
icr030084,ET-hGM0RD,ET,Dambidolo,Dambidolo-4-1,34.98785,8.65488,35,5.815,0.049,0.11,50463,2551,3.2,142.7,11.8,3400,523.1,1447,0.242,2.093,69.32,122.6,0.459,38.18
icr030103,ET-V1Xm9Q,ET,Dambidolo,Dambidolo-5-1,34.998875,8.581855,10,6.384,0.097,0.116,23171,1629,32.4,270.4,10.3,2054,422.4,1045,0.173,1.38,103.4,56.38,0.791,53.86
icr030104,ET-V1Xm9Q,ET,Dambidolo,Dambidolo-5-1,34.998875,8.581855,35,6.349,0.097,0.053,9794,747,15.7,150,6.8,1000,269.8,1030,0.084,0.926,86.87,37.85,0.569,42.08
icr030123,ET-fjDdKT,ET,Dambidolo,Dambidolo-6-2,35.000599,8.599288,10,6.312,0.194,0.24,16842,1266,15.5,300.1,11.4,1565,279.2,1066,0.266,1.324,107.9,135.1,1.15,54.67
icr030124,ET-fjDdKT,ET,Dambidolo,Dambidolo-6-2,35.000599,8.599288,35,5.706,0.291,0.107,11526,762,4.3,145.4,11.7,908.5,179.3,1414,0.093,1.08,107,119.6,0.652,71.49
icr030143,ET-EvzHrd,ET,Dambidolo,Dambidolo-7-1,35.007782,8.627145,10,5.831,0.097,0.145,38195,2305,22.5,210.4,9.6,3233,563.7,1189,0.402,1.228,159.5,246.8,1.128,35.15
icr030144,ET-EvzHrd,ET,Dambidolo,Dambidolo-7-1,35.007782,8.627145,35,5.721,0.194,0.067,26219,1592,2.5,129.6,8.2,2704,510.9,1417,0.141,1.349,110.8,136.5,0.579,45.96
icr030163,ET-EfT3M5,ET,Dambidolo,Dambidolo-8-1,34.998833,8.644138,10,5.826,0.097,0.073,44716,2210,48,263.1,10.4,5799,1056,850.5,0.217,2.736,338.6,79.8,1.147,83.02
icr030164,ET-EfT3M5,ET,Dambidolo,Dambidolo-8-1,34.998833,8.644138,35,5.411,0.194,0.067,21057,1143,8.1,245.2,8.3,5621,1018,1008,0.109,2.627,229.5,70.53,0.359,77.32
icr030183,ET-hf1JNN,ET,Dambidolo,Dambidolo-9-5,35.022572,8.578802,10,6.331,0.097,0.058,25486,1633,7.7,188,8,1905,381.4,1125,0.245,3.459,115.1,120.8,0.482,40.4
icr030184,ET-hf1JNN,ET,Dambidolo,Dambidolo-9-5,35.022572,8.578802,35,6.534,0.146,0.085,22783,1393,6.8,213.2,10.2,2083,431.4,1140,0.391,3.847,113.1,133,0.902,68.9
icr030200,ET-kQye5V,ET,Dambidolo,Dambidolo-10-2,35.024567,8.603598,10,5.489,0.243,0.097,50223,2489,2.6,123,11.9,2694,570.4,1752,0.161,1.9,43.07,95.92,0.395,38.27
icr030201,ET-kQye5V,ET,Dambidolo,Dambidolo-10-2,35.024567,8.603598,35,6.188,0.194,0.204,73840,3787,13,301.4,15.9,4775,947.7,1123,0.402,1.977,59.79,179.2,1.005,37.67
icr030218,ET-1wc1Gq,ET,Dambidolo,Dambidolo-11-1,35.029861,8.61844,10,5.946,0.097,0.116,27402,1899,8.4,288.7,10,2498,488.7,1109,0.29,2.379,92.73,138.6,0.581,45.76
icr030219,ET-1wc1Gq,ET,Dambidolo,Dambidolo-11-1,35.029861,8.61844,35,5.193,0.485,0.078,17056,1284,1.3,134,8.3,1742,346.8,1523,0.064,2.419,92.24,91.96,0.469,55.76
icr030238,ET-PMdSNr,ET,Dambidolo,Dambidolo-12-1,35.024132,8.641408,10,6.282,0.097,0.201,57898,3291,13.6,272.7,12.6,5194,719.9,1032,0.683,2.922,68.51,286.9,1.335,38.23
icr030239,ET-PMdSNr,ET,Dambidolo,Dambidolo-12-1,35.024132,8.641408,35,5.648,0.097,0.073,39185,2284,3.3,109.4,12.8,2843,338.4,1553,0.314,2.647,58.83,161.8,0.323,33.44
icr030258,ET-rAOBdx,ET,Dambidolo,Dambidolo-13-1,35.045807,8.577478,10,6.288,0.097,0.052,16935,1188,8.6,150,8.4,1088,289.4,1099,0.132,0.846,103.3,74.62,0.437,33.16
icr030259,ET-rAOBdx,ET,Dambidolo,Dambidolo-13-1,35.045807,8.577478,35,6.377,0.097,0.041,12311,920,8.4,117.5,8.4,860.1,219,957.5,0.111,0.564,107.2,58.18,0.518,46.29
icr030276,ET-vtebk6,ET,Dambidolo,Dambidolo-14-1,35.048473,8.60308,10,6.279,0.194,0.047,24533,1776,3.1,136.7,9.5,2574,585.2,1426,0.275,3.891,121,87.09,0.933,65.27
icr030277,ET-vtebk6,ET,Dambidolo,Dambidolo-14-1,35.048473,8.60308,35,6.241,0.097,0.032,15324,1230,1.1,86.7,6.9,2084,486.6,1465,0.105,2.89,98.99,48.07,0.381,55.18
icr030296,ET-OdgcsB,ET,Dambidolo,Dambidolo-15-1,35.051384,8.629188,10,6.286,0.097,0.217,40239,2117,91.3,356.8,10.6,3735,563.6,843.1,0.642,3.214,164.9,194.1,1.834,39.87
icr030297,ET-OdgcsB,ET,Dambidolo,Dambidolo-15-1,35.051384,8.629188,35,6.146,0.097,0.092,30823,1643,37.4,228.5,9.4,2868,445.8,1079,0.368,4.102,178.7,180,1.491,45.77
icr030316,ET-tat2D0,ET,Dambidolo,Dambidolo-16-1,35.053028,8.646072,10,6.688,0.194,0.074,17851,1370,17.1,172.4,8.5,1652,295.1,895.7,0.223,3.33,261.1,160.1,1.616,47.01
icr030317,ET-tat2D0,ET,Dambidolo,Dambidolo-16-1,35.053028,8.646072,35,6.483,0.097,0.069,15080,1135,14.4,176.3,8.7,1324,226.6,948.5,0.163,2.005,125.1,39.05,1.64,88.32
icr030335,ET-71dXL1,ET,Merar,Merar-1-3,42.666794,9.574855,10,7.999,0.194,0.319,44584,2554,9,615,26.2,18510,426.5,306.7,1.502,3.228,22.63,173.6,1.413,49.67
icr030336,ET-71dXL1,ET,Merar,Merar-1-3,42.666794,9.574855,35,8.103,0.194,0.275,33296,1907,4.3,395.6,32.5,20360,593.9,373.1,1.077,5.865,90.45,199,1.161,79.86
icr030352,ET-IGa4bc,ET,Merar,Merar-2-3,42.668991,9.594755,10,8.246,0.291,0.228,70767,2688,4.6,192.3,29.4,20560,329.9,134.9,1.376,1.941,14.96,46.74,0.657,67.71
icr030353,ET-IGa4bc,ET,Merar,Merar-2-3,42.668991,9.594755,35,8.328,0.194,0.193,70644,2021,1.7,111.4,32.7,29960,363.3,41.45,0.308,0.992,7.46,27.62,0.721,65.23
icr030367,ET-foKvLH,ET,Merar,Merar-3-7,42.665039,9.615043,10,8.367,0.194,0.203,46484,1516,2.6,112.4,34.1,20710,449.4,35.57,0.933,1.215,59,127.6,1.174,74.11
icr030368,ET-foKvLH,ET,Merar,Merar-3-7,42.665039,9.615043,35,8.516,0.194,0.165,49827,722,0.6,55.4,28.1,33130,558,12.16,0.225,0.465,18.89,68.73,0.467,76.26
icr030376,ET-yZXwyG,ET,Merar,Merar-4-1,42.660461,9.63305,10,8.205,0.097,0.305,109342,1547,1.2,58.9,28.9,34460,176.5,5.54,0.522,0.162,7.519,9.986,0.503,61.12
icr030377,ET-yZXwyG,ET,Merar,Merar-4-1,42.660461,9.63305,35,8.486,0.097,0.132,103982,877,0.4,37.5,22.5,22300,182.2,1.672,0.162,0.07,8.485,8.151,0.492,57.01
icr030387,ET-b7AcKm,ET,Merar,Merar-5-2,42.692375,9.568018,10,8.15,0.097,0.313,40105,2035,4,441.7,39.5,20593.1,610.4,358.4,1.227,3.108,27.63,112.6,1.159,75.36
icr030388,ET-b7AcKm,ET,Merar,Merar-5-2,42.692375,9.568018,35,8.203,0.194,0.339,37223,1735,2.3,307,29.1,19083.1,885.3,337.6,1.22,3.106,24.81,112.3,0.964,100.8
icr030400,ET-TYpjnR,ET,Merar,Merar-6-2,42.688229,9.590382,10,8.181,0.291,0.241,35523,1805,3.3,376.8,31.7,17913.1,514.8,340,1.218,3.059,25.44,126,0.881,80.65
icr030401,ET-TYpjnR,ET,Merar,Merar-6-2,42.688229,9.590382,35,8.169,0.097,0.279,39448,1664,2,270.4,27.7,21363.1,593.6,263.4,1.075,2.664,18.82,78.54,0.673,90.72
icr030416,ET-KwN4pt,ET,Merar,Merar-7-1,42.69437,9.618598,10,8.029,0.291,0.351,70078,3360,6.5,321.3,35.2,16823.1,361.8,197.8,1.565,2.746,21.22,99.41,0.849,85.82
icr030430,ET-Ecv3d5,ET,Merar,Merar-8-6,42.691422,9.635978,10,8.111,0.097,0.27,62455,2659,5.2,416.7,39.1,13823.1,511.3,202.1,1.624,4.916,144.4,129.4,2.14,94.56
icr030431,ET-Ecv3d5,ET,Merar,Merar-8-6,42.691422,9.635978,35,8.039,0.291,0.438,55704,2222,5.1,337.1,39.8,12343.1,498.9,212.4,1.406,2.833,31.59,106.4,1.748,87.21
icr030438,ET-XyWBPl,ET,Merar,Merar-9-1,42.714642,9.564708,10,8.084,0.291,0.323,30218,1555,4.3,583.3,35.9,14613.1,762.2,471,1.088,6.036,117.3,242.1,1.666,120.5
icr030439,ET-XyWBPl,ET,Merar,Merar-9-1,42.714642,9.564708,35,8.082,0.142,0.414,31539,1250,2,337,38.4,16923.1,887.9,330.4,0.987,3.219,31.37,142.4,1.187,129.5
icr030458,ET-Cpfe92,ET,Merar,Merar-10-1,42.708057,9.592545,10,8.157,0.582,0.277,32418,1612,3.3,490,41.9,14783.1,802.8,357.7,1.272,2.925,32.11,133.4,1.315,109
icr030459,ET-Cpfe92,ET,Merar,Merar-10-1,42.708057,9.592545,35,8.177,0.194,0.243,33105,1849,4.5,492.2,23.2,14543.1,750.9,274.7,1.41,2.438,23.23,144.5,0.785,79.53
icr030478,ET-1Dmony,ET,Merar,Merar-11-1,42.708038,9.616448,10,8.024,0.388,1.715,49953,2531,89.9,2540,158.4,10843.1,574.1,92.19,2.306,3.978,71.25,130.6,5.277,197.1
icr030479,ET-1Dmony,ET,Merar,Merar-11-1,42.708038,9.616448,35,7.812,0.194,4.38,50376,2507,13.7,3745,259.5,14373.1,565.9,47.88,1.061,1.333,7.045,19.3,1.461,202.6
icr030494,ET-YkPZFs,ET,Merar,Merar-12-1,42.71965,9.636297,10,8.218,0.291,0.264,33500,1914,12.4,3566,259.7,11670,542.9,47.39,0.885,1.272,9.438,18.53,1.355,204.9
icr030495,ET-YkPZFs,ET,Merar,Merar-12-1,42.71965,9.636297,35,8.295,0.291,0.273,33616,1405,1.7,355.6,34.5,11770,1000,297.5,0.88,2.552,30.66,78.5,0.839,148
icr030511,ET-jHBSXV,ET,Merar,Merar-13-1,42.731781,9.566375,10,8.063,0.388,0.469,56310,4069,5.2,447.5,65.7,11000,545.9,269.1,1.62,4.927,182.1,85.2,1.853,99.03
icr030512,ET-jHBSXV,ET,Merar,Merar-13-1,42.731781,9.566375,35,8.115,0.388,0.417,61567,3925,3.6,292.8,47.6,11880,520.2,216.1,1.377,3.573,68.77,63.23,1.658,88.97
icr030531,ET-zvuOyN,ET,Merar,Merar-14-1,42.724842,9.588365,10,8.198,0.291,0.25,29919,1502,5.3,522.2,24.4,13020,769.5,437.5,1.165,2.483,26.22,140.2,1.114,71.9
icr030532,ET-zvuOyN,ET,Merar,Merar-14-1,42.724842,9.588365,35,8.079,0.388,2.83,101191,6589,382.7,5047,231.2,8377,934.7,19.36,3.878,2.984,35.31,127.9,16.99,226.9
icr030551,ET-VA6GSK,ET,Merar,Merar-15-1,42.737804,9.615457,10,8.166,0.291,0.354,35434,1847,5.9,504.5,41.1,18380,602.8,392.4,1.15,2.492,23.73,139.7,0.824,95.27
icr030552,ET-VA6GSK,ET,Merar,Merar-15-1,42.737804,9.615457,35,8.168,0.291,0.411,35749,1466,2.9,399,34.5,10870,802.3,313.4,1.059,2.594,27.4,96.29,0.636,120.2
icr030571,ET-7V5DSR,ET,Merar,Merar-16-2,42.738422,9.636652,10,8.258,0.291,0.313,33471,1289,2.9,401.3,32.6,11750,699.9,322.4,1.041,2.222,21.55,120.9,0.756,93.21
icr030572,ET-7V5DSR,ET,Merar,Merar-16-2,42.738422,9.636652,35,8.345,0.291,0.31,36382,1034,1.8,285.7,35.4,11140,1010,308.3,0.974,2.287,25.8,95.76,0.909,143.3
icr033351,KE-kZdH1c,KE,Mbalambala,Mbalambala-1-1,38.990334,-0.150345,10,8.266,0.288,0.844,4463,434,8.2,530.6,234.9,12698.3,817.5,759.686,3.637,2.224,26.67,225,0.826,258.29
icr033352,KE-kZdH1c,KE,Mbalambala,Mbalambala-1-1,38.990334,-0.150345,35,8.318,0.096,1.691,4123,426,7,465.2,488.7,12628.3,868.2,719.686,9.845,2.182,27.76,227.6,0.822,898.99
icr033371,KE-Ux2A81,KE,Mbalambala,Mbalambala-2-1,38.990215,-0.126043,10,8.703,0.096,0.318,6034,661,9.3,675.3,49.8,9470.3,1079,796.486,2.907,2.334,40.65,216.1,0.787,347.29
icr033372,KE-Ux2A81,KE,Mbalambala,Mbalambala-2-1,38.990215,-0.126043,35,8.517,0.149,2.79,4209,496,5.1,491.7,160.4,10098.3,1123,666.486,10.95,2.323,34.72,237,0.931,2441.89
icr033389,KE-CtEBp3,KE,Mbalambala,Mbalambala-2-10,38.991169,-0.129948,10,9.274,0.099,0.172,4694,504,10,612.5,27.9,10008.3,1076,633.686,2.223,2.355,39.54,175.1,0.727,395.29
icr033390,KE-CtEBp3,KE,Mbalambala,Mbalambala-2-10,38.991169,-0.129948,35,9.237,0.288,0.409,4048,376,5.8,552.1,39.6,12808.3,1322,632.686,2.913,2.705,34.38,176,0.738,1162.89
icr033392,KE-EBbAyQ,KE,Mbalambala,Mbalambala-3-2,38.988918,-0.102418,10,8.789,0.149,0.154,3190,289,16.5,586.9,18.1,6898.3,287.9,529.186,0.68,0.786,30.19,210.9,1.99,85.39
icr033393,KE-EBbAyQ,KE,Mbalambala,Mbalambala-3-2,38.988918,-0.102418,35,9.205,0.198,0.175,2728,253,13,344.9,26.8,8836.3,381,403.786,0.853,0.805,18.14,193.7,0.783,402.29
icr033407,KE-cBaGCY,KE,Mbalambala,Mbalambala-5-1,39.018524,-0.15258,10,8.37,0.099,0.67,3548,326,8.2,449.6,345.5,12248.3,593.2,746.186,3.334,1.997,25.95,240.2,0.941,430.29
icr033408,KE-cBaGCY,KE,Mbalambala,Mbalambala-5-1,39.018524,-0.15258,35,8.219,0.099,0.439,3298,251,6.7,426.1,2728.9,12928.3,636.4,676.986,23.55,1.945,27.84,231.7,1.364,2593.89
icr033427,KE-Y9y0vq,KE,Mbalambala,Mbalambala-6-1,39.014431,-0.127145,10,8.979,0.198,0.184,3981,380,6.8,760.3,49.9,12278.3,802.4,900.386,4.538,2.259,27.08,214.3,0.866,377.69
icr033428,KE-Y9y0vq,KE,Mbalambala,Mbalambala-6-1,39.014431,-0.127145,35,8.372,0.192,6.86,2447,249,4.9,588.7,3077.9,12768.3,712.7,709.886,55.09,2.417,28.7,230.3,0.758,4603.89
icr033445,KE-658PLI,KE,Mbalambala,Mbalambala-6-10,39.010712,-0.129155,10,8.776,0.099,0.199,5388,485,11.6,824.3,40.9,10148.3,882.1,696.686,2.756,2.479,34.75,249.3,1.298,157.39
icr033446,KE-658PLI,KE,Mbalambala,Mbalambala-6-10,39.010712,-0.129155,35,8.814,0.099,1.681,2869,298,4.3,424.1,249.7,10798.3,793,596.386,8.297,2.616,30.51,223.6,0.656,2307.89
icr033447,KE-jDSYFw,KE,Mbalambala,Mbalambala-7-1,39.015121,-0.104105,10,7.944,0.248,0.44,16173,1832,91.7,1862,44.8,5987.3,590.5,909.886,3.319,1.269,41.93,324.4,2.545,84.99
icr033448,KE-jDSYFw,KE,Mbalambala,Mbalambala-7-1,39.015121,-0.104105,35,8.198,0.288,0.335,9609,967,36.1,1250,48.2,8106.3,579.8,709.786,2.634,1.66,38.88,390.2,1.851,206.19
icr033466,KE-qfzsYL,KE,Mbalambala,Mbalambala-9-1,39.040543,-0.148253,10,8.924,0.099,1.078,2102,166,8.1,270.3,25.3,5397.3,425.2,507.086,1.874,1.53,52.18,230.8,0.713,1301.89
icr033467,KE-qfzsYL,KE,Mbalambala,Mbalambala-9-1,39.040543,-0.148253,35,9.214,0.149,2.19,1284,157,5.8,181.8,151.6,5053.3,345,366.586,9.563,1.27,54.47,234.4,0.52,2729.89
icr033486,KE-397W95,KE,Mbalambala,Mbalambala-10-1,39.034988,-0.13617,10,8.242,0.149,0.658,4302,392,5.9,788.8,161.6,14278.3,693.4,787.486,5.574,2.502,27.3,257.1,1.126,453.59
icr033487,KE-397W95,KE,Mbalambala,Mbalambala-10-1,39.034988,-0.13617,35,8.153,0.099,3.07,3081,304,4,688.1,1203.9,14398.3,606.8,695.586,18.48,2.408,27.97,275.3,0.822,1712.89
icr033506,KE-BW3Zjm,KE,Mbalambala,Mbalambala-11-1,39.037678,-0.106482,10,8.594,0.05,0.168,4748,494,30.3,877.2,28.5,4592.3,507.9,685.686,1.972,1.741,51.38,303.8,1.306,88.39
icr033507,KE-BW3Zjm,KE,Mbalambala,Mbalambala-11-1,39.037678,-0.106482,35,8.618,0.05,0.208,3643,388,15.6,679.4,40,4860.3,509.5,650.586,1.891,1.98,45.54,387.6,1.045,207.39
icr033525,KE-ebNd0I,KE,Mbalambala,Mbalambala-13-1,39.060013,-0.154933,10,9.225,0.099,0.497,2341,209,10.7,249.7,24.8,4973.3,521.9,443.586,1.322,1.101,35.84,309.4,0.952,797.29
icr033526,KE-ebNd0I,KE,Mbalambala,Mbalambala-13-1,39.060013,-0.154933,35,9.242,0.099,0.93,1212,150,6.3,204.6,46.7,5151.3,595.9,443.886,3.071,0.99,37.4,324,0.622,1532.89
icr033545,KE-zzN1G9,KE,Mbalambala,Mbalambala-14-1,39.057957,-0.137943,10,8.544,0.198,0.281,4900,505,11.5,1239,57.1,10888.3,607,735.486,3.172,2.107,30.96,339.8,1.62,334.19
